s58,455,"[]",.
s238,320,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Turn Left', 'Forward', 'Forward', 'Turn Right']",ERROR
s238,320,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Turn Left', 'Forward', 'Forward', 'Turn Right']",ERROR
s238,320,"[]",.
s238,320,"[]",.
s239,313,"['Forward', 'Forward', 'Forward']",.
s239,313,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down']",COMPLETED
s239,316,"['Forward', 'Forward']",ERROR
s239,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up']",.
s239,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down']",.
s239,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down']",.
s239,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward']",COMPLETED
s239,314,"[]",.
s240,313,"[]",.
s240,313,"[]",.
s240,313,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down']",COMPLETED
s240,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward']",.
s240,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward']",.
s240,316,"['Forward', 'Forward', 'Turn Right']",ERROR
s240,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward']",.
s240,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward']",.
s240,316,"['Forward', 'Forward', 'Jump', 'Turn Right', 'Forward']",.
s240,316,"['Forward', 'Forward', 'Jump', 'Turn Right', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward']",ERROR
s240,316,"['Forward', 'Forward', 'Turn Right']",ERROR
s240,316,"['Forward', 'Forward', 'Turn Right']",ERROR
s240,316,"[]",.
s240,316,"[]",.
s241,313,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down']",COMPLETED
s241,316,"['Forward', 'Forward', 'Turn Right']",.
s241,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward']",.
s241,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward']",.
s241,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward']",.
s241,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down']",.
s241,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down']",.
s241,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward']",COMPLETED
s241,314,"[]",.
s241,239,"['Turn Right', 'Turn Right', 'Turn Right', 'Forward', 'Forward']",ERROR
s241,239,"['Turn Right', 'Forward', 'Forward', 'Turn Right', 'Pick Up']",.
s241,239,"['Turn Right', 'Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Turn Left', 'Put Down']",.
s241,239,"['Turn Right', 'Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Turn Right', 'Put Down']",COMPLETED
s241,361,"[]",.
s241,361,"[]",.
s242,313,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down']",COMPLETED
s242,313,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down']",COMPLETED
s242,316,"['Forward', 'Turn Right']",ERROR
s242,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Turn Left', 'Jump', 'Turn Left']",ERROR
